database_name,table_name,column_name,type,comment
athena_db,customers,customerid,int,1
athena_db,customers,firstname,string,John
athena_db,customers,lastname,string,Doe
athena_db,customers,email,string,johndoe@example.com
athena_db,customers,phonenumber,string,123-456-7890
athena_db,order_items,orderitemid,int,1
athena_db,order_items,orderid,int,1001
athena_db,order_items,productid,int,101
athena_db,order_items,quantity,int,2
athena_db,order_items,unitprice,double,25.0
athena_db,orders,orderid,int,1001
athena_db,orders,customerid,int,1
athena_db,orders,orderdate,string,2023-01-15
athena_db,orders,orderamount,double,150.5
athena_db,orders,orderstatus,string,Shipped
athena_db,products,productid,int,101
athena_db,products,productname,string,Widget A
athena_db,products,category,string,Category 1
athena_db,products,price,double,25.0
athena_db,products,stockquantity,int,100
